Total Customers;Serviced Customers;Not Serviced Customers;Service Mean Time;Service Rate;Arrival Rate;Servers Number;Time Limit;Delay probability;System load;Average Customers;Mean Service Time;Average Time In System
88;43;45;0.4401;2.4212001795607363;7.849615186789597;2;10;;1.6210173890317707;;0.413018307383995;
171;171;0;0.1149;8.729379304325086;8.598334790136496;5;20;0.003541739140856384;0.19699762125988365;0.0008688818418775068;0.1145556820408224;0.00010105233898012866
193;193;0;0.1345;7.251161929814677;6.802774612204896;2;30;0.23050764118138786;0.4690816918757432;0.20366017268770847;0.13790893234479973;0.029937809834581414
368;367;1;0.2722;3.3218373394645067;9.68237763041643;5;40;0.11575594044349073;0.5829531455611413;0.16180505590844596;0.30103822005962644;0.0167112936599527
303;303;0;0.139;6.913134617743842;6.028217052940531;4;50;0.01239226509019874;0.21799868606160197;0.0034545945880638178;0.14465218099953014;0.0005730707036135478
524;523;1;0.1297;7.599335374263357;8.53387445622842;2;60;0.28765076500202397;0.5614882115303177;0.3683196617129958;0.13159045505304276;0.04315972347638404
290;290;0;0.1014;9.937281121658604;4.2075498292753215;2;70;0.06888131485284871;0.21170528325423135;0.01849884055045521;0.10063114726828748;0.004396582643357861
411;411;0;0.162;5.9889679389770345;5.1003465158169705;3;80;0.05433691384037785;0.28387453774927324;0.02153933509175919;0.16697367729953289;0.004223112101297892
397;397;0;0.1133;8.73350062088147;4.471930354835441;2;90;0.09450844889944228;0.2560216429219244;0.03252273151099033;0.11450162350810827;0.007272638196572966
261;261;0;0.3542;2.550730564503893;2.561958728654672;2;100;0.25137469445384164;0.5022009702449625;0.25359755223282004;0.39204454359706;0.09898580699072716
34;33;1;0.2463;3.5042970382439065;3.8033838273480978;3;10;0.0908271328202628;0.3617828612358035;0.0514867088232486;0.28536393721381725;0.01353707939047204
126;126;0;0.1112;8.931962544410284;5.8372328589791795;2;20;0.13863827585090174;0.32676093467455153;0.06728898385718284;0.11195747799298716;0.011527548323462014
257;254;3;0.2592;3.4744902051617466;9.484684819742016;3;30;0.31268942518821224;0.9099353919270852;3.1591452041821135;0.287812007216019;0.33307856446705225
167;126;41;0.6063;1.9219371120996889;3.432193220089236;2;40;0.4572235351797447;0.8928994602585132;3.8118822628243065;0.520308387670143;1.1106257772763737
448;324;124;0.4394;2.3416292139957187;9.119993977934914;3;50;;1.2982405474253405;;0.4270530936422748;
612;612;0;0.1047;9.258043918757751;9.975959102490645;5;60;0.005143914585912032;0.21550900363041745;0.001413094493499602;0.10801417759251462;0.00014164998863585982
675;675;0;0.1516;6.740706051889738;9.380002199581522;4;70;0.05025677282566349;0.3478864872379306;0.026810749687092985;0.1483524117951491;0.002858288208961093
655;655;0;0.1015;9.453425290136193;8.33486153013529;3;80;0.058705378011143984;0.2938921175598287;0.024434011126206568;0.10578176367918314;0.002931543738052954
855;854;1;0.172;5.489187458027394;9.00396510244818;3;90;0.18329204542706334;0.5467697585053182;0.22112060987721446;0.18217632530249966;0.02455813714971993
781;779;2;0.1379;7.170058149267705;7.755918943244586;3;100;0.09022471617613301;0.3605697834792185;0.05087702384963053;0.1394688828433187;0.00655976734954721
13;13;0;0.1221;5.3030376074332635;1.5328598160370068;3;10;0.0033137587600585213;0.09635105572250377;0.00035332764671862056;0.1885711688331798;0.00023050225664607705
84;84;0;0.1525;6.647089048757138;3.864799107418905;5;20;0.00034983364281934297;0.1162854620743057;4.6033605942335964e-05;0.1504417937934769;1.1910995801559106e-05
85;85;0;0.1456;6.955778903820941;2.4695929048230454;3;30;0.005861221532386543;0.11834729745202467;0.0007867720771692597;0.14376535163454965;0.0003185837129806764
196;195;1;0.111;7.340072973928961;4.725011250241781;3;40;0.028011905719808692;0.21457603428124136;0.007652788690393555;0.13623842754041784;0.0016196339617184947
387;385;2;0.1649;5.341496575694222;7.9663080932481725;4;50;0.06007742790315325;0.37285000469240254;0.03571692488750117;0.18721344960705735;0.004483497809703465
269;269;0;0.2372;4.127610085323182;4.614990121158437;2;60;0.2861831402481076;0.5590390111663242;0.3628156317408852;0.2422709459781016;0.07861677321419977
203;202;1;0.4515;2.154695379147048;3.1667807074836536;3;70;0.1557102967324716;0.4899038534064534;0.14954646274770592;0.4641027263890349;0.04722349810781076
200;198;2;0.5338;2.0889374748509537;2.290814463145061;4;80;0.025547104685435425;0.2741602478203078;0.00964951358838828;0.4787122697731057;0.004212263255549929
490;489;1;0.1263;6.82091025054372;5.260523216852576;2;90;0.17670718798818855;0.3856173900274704;0.1109103082102952;0.1466079985322027;0.02108351273025157
381;381;0;0.1394;7.326519712410147;4.047881353607822;4;100;0.002572266255934153;0.13812429067621462;0.0004122316572885251;0.13649045375611746;0.0001018388686024872
34;31;3;0.5915;1.6083504675457347;2.341868562754206;4;10;0.05653912088888545;0.3640171420983551;0.03236126406084421;0.6217550342282996;0.013818565471832044
122;121;1;0.1874;5.029173311282543;5.956609812211707;2;20;0.3058112767133319;0.5922056612016667;0.44410417727379403;0.19883983670965985;0.07455653320842526
75;75;0;0.1534;7.116996735236932;2.522846934628724;4;30;0.0005056532203745642;0.08862048938907993;4.916857942167263e-05;0.14050870573663524;1.9489323250959954e-05
275;274;1;0.3138;2.9584902187269093;7.170985116288644;5;40;0.07988654206928622;0.4847732854343826;0.07516470005552825;0.3380102437622112;0.010481781629248432
469;468;1;0.1483;7.090980998900331;9.35421423652784;2;50;0.3439572852436285;0.6595853407291946;0.6664495109278751;0.14102421091737236;0.07124591056781829
119;119;0;0.1908;5.438077768178049;1.8353406048869036;3;60;0.00509797103301264;0.11249934769394372;0.0006462174583042038;0.18388850668000573;0.00035209674791890984
127;126;1;0.2238;4.501403452417495;1.8872178524157208;2;70;0.06773405638866822;0.2096254948445227;0.017964629420211736;0.2221529375383907;0.00951910739781114
341;341;0;0.1099;9.219714650686488;4.0991565844872655;3;80;0.010781349191580927;0.1482025832611514;0.0018758260706520727;0.10846322667107072;0.0004576126898276824
302;302;0;0.1285;7.957650422651121;3.3020373371135;3;90;0.008959151392708534;0.13831709787579122;0.0014381204698554766;0.1256652336917869;0.0004355251994553823
785;785;0;0.1125;8.29428149468162;8.326250326988598;2;100;0.2512037768339282;0.5019271610402587;0.2531477099056101;0.120564994163896;0.03040356702765235
70;70;0;0.1071;8.14392810104932;7.35231389549666;4;10;0.013877248066876943;0.2256992511558807;0.004045049034853851;0.12279086794383083;0.0005501736041671818
191;190;1;0.1125;9.780618475137123;8.900615724068459;5;20;0.0025330897454061666;0.1820051716912242;0.0005636165634141365;0.10224302302988872;6.332332288990319e-05
171;170;1;0.1095;8.69667974515148;6.028364992452794;2;30;0.1514011493618072;0.3465900302821712;0.08030812410885761;0.11498641197607788;0.01332170898898778
343;340;3;0.2124;4.526506716811289;9.605946771409164;3;40;0.2508020740187006;0.7073848460766307;0.6063034813702085;0.2209209137558627;0.06311751416058133
306;305;1;0.2042;5.123289437718966;6.5562898112815775;5;50;0.01024530442171302;0.25594063700608044;0.003524167385601289;0.19518709847578486;0.0005375246499227602
506;504;2;0.2833;3.830069754182744;8.69088862403457;4;60;0.1418055983291194;0.5672800485254493;0.1859019590550456;0.26109185058781753;0.021390443152261258
433;433;0;0.142;7.64958156262626;6.089129881353911;3;70;0.04658737118143971;0.26533607672972664;0.01682580279620887;0.13072610466508694;0.0027632524061824864
600;599;1;0.1073;9.529077218584687;7.356079760921295;4;80;0.008259460006741456;0.1929903492274843;0.001975188363120081;0.10494195576982904;0.0002685110041374406
265;263;2;0.2186;4.957673452508095;2.985957630157243;3;90;0.023725227765152096;0.20076336603994774;0.005959632459032698;0.2017075165557946;0.001995886478375401
