Time;Event;Server id;Customer id;Customers in system
0;ARRIVAL;;0;1
0;SERVICE;4;0;1
0.0692;ARRIVAL;;1;2
0.0692;SERVICE;3;1;2
0.124;ARRIVAL;;2;3
0.124;SERVICE;0;2;3
0.1901;LEAVE;3;1;2
0.196;LEAVE;4;0;1
0.2059;ARRIVAL;;3;2
0.2059;SERVICE;1;3;2
0.2231;LEAVE;1;3;1
0.2822;ARRIVAL;;4;2
0.2822;SERVICE;1;4;2
0.3537;ARRIVAL;;5;3
0.3537;SERVICE;4;5;3
0.3827;LEAVE;4;5;2
0.3837;ARRIVAL;;6;3
0.3837;SERVICE;4;6;3
0.3877;ARRIVAL;;7;4
0.3877;SERVICE;3;7;4
0.4004;LEAVE;0;2;3
0.5114;LEAVE;1;4;2
0.5649;ARRIVAL;;8;3
0.5649;SERVICE;1;8;3
0.63;LEAVE;3;7;2
0.6342;ARRIVAL;;9;3
0.6342;SERVICE;2;9;3
0.6621;LEAVE;2;9;2
0.7369;LEAVE;4;6;1
0.7702;LEAVE;1;8;0
0.8237;ARRIVAL;;10;1
0.8237;SERVICE;4;10;1
0.8724;ARRIVAL;;11;2
0.8724;SERVICE;0;11;2
0.8847;LEAVE;4;10;1
0.9572;LEAVE;0;11;0
0.9647;ARRIVAL;;12;1
0.9647;SERVICE;1;12;1
0.9823;ARRIVAL;;13;2
0.9823;SERVICE;3;13;2
1.0463;ARRIVAL;;14;3
1.0463;SERVICE;0;14;3
1.0507;LEAVE;1;12;2
1.0834;ARRIVAL;;15;3
1.0834;SERVICE;1;15;3
1.1995;ARRIVAL;;16;4
1.1995;SERVICE;2;16;4
1.224;LEAVE;0;14;3
1.2302;ARRIVAL;;17;4
1.2302;SERVICE;0;17;4
1.2414;LEAVE;3;13;3
1.2581;ARRIVAL;;18;4
1.2581;SERVICE;3;18;4
1.2793;LEAVE;1;15;3
1.2867;LEAVE;0;17;2
1.4193;ARRIVAL;;19;3
1.4193;SERVICE;0;19;3
1.4783;ARRIVAL;;20;4
1.4783;SERVICE;4;20;4
1.4849;LEAVE;2;16;3
1.5601;ARRIVAL;;21;4
1.5601;SERVICE;2;21;4
1.596;LEAVE;0;19;3
1.6711;LEAVE;3;18;2
1.7147;LEAVE;2;21;1
1.8697;LEAVE;4;20;0
1.9077;ARRIVAL;;22;1
1.9077;SERVICE;2;22;1
1.9173;ARRIVAL;;23;2
1.9173;SERVICE;1;23;2
1.9378;LEAVE;1;23;1
1.982;ARRIVAL;;24;2
1.982;SERVICE;4;24;2
2.0874;ARRIVAL;;25;3
2.0874;SERVICE;3;25;3
2.1386;LEAVE;3;25;2
2.145;LEAVE;2;22;1
2.1451;ARRIVAL;;26;2
2.1451;SERVICE;0;26;2
2.1889;LEAVE;4;24;1
2.256;ARRIVAL;;27;2
2.256;SERVICE;3;27;2
2.3643;ARRIVAL;;28;3
2.3643;SERVICE;2;28;3
2.3748;LEAVE;3;27;2
2.3754;LEAVE;2;28;1
2.5147;ARRIVAL;;29;2
2.5147;SERVICE;3;29;2
2.5324;LEAVE;0;26;1
2.5712;LEAVE;3;29;0
2.5864;ARRIVAL;;30;1
2.5864;SERVICE;3;30;1
2.7302;ARRIVAL;;31;2
2.7302;SERVICE;2;31;2
2.7917;LEAVE;3;30;1
2.798;LEAVE;2;31;0
2.8975;ARRIVAL;;32;1
2.8975;SERVICE;4;32;1
2.9032;ARRIVAL;;33;2
2.9032;SERVICE;1;33;2
2.9099;ARRIVAL;;34;3
2.9099;SERVICE;2;34;3
2.9397;LEAVE;4;32;2
2.9738;ARRIVAL;;35;3
2.9738;SERVICE;4;35;3
2.9944;ARRIVAL;;36;4
2.9944;SERVICE;0;36;4
3.035;LEAVE;2;34;3
3.0391;ARRIVAL;;37;4
3.0391;SERVICE;2;37;4
3.05;LEAVE;2;37;3
3.0899;LEAVE;1;33;2
3.1351;ARRIVAL;;38;3
3.1351;SERVICE;3;38;3
3.1739;LEAVE;0;36;2
3.2058;LEAVE;4;35;1
3.2245;ARRIVAL;;39;2
3.2245;SERVICE;2;39;2
3.2604;ARRIVAL;;40;3
3.2604;SERVICE;0;40;3
3.2811;ARRIVAL;;41;4
3.2811;SERVICE;1;41;4
3.2941;LEAVE;3;38;3
3.4385;LEAVE;0;40;2
3.452;LEAVE;1;41;1
3.4531;ARRIVAL;;42;2
3.4531;SERVICE;3;42;2
3.4747;LEAVE;2;39;1
3.4783;ARRIVAL;;43;2
3.4783;SERVICE;1;43;2
3.5133;LEAVE;1;43;1
3.5224;LEAVE;3;42;0
3.542;ARRIVAL;;44;1
3.542;SERVICE;2;44;1
3.5964;ARRIVAL;;45;2
3.5964;SERVICE;4;45;2
3.6796;ARRIVAL;;46;3
3.6796;SERVICE;1;46;3
3.6987;LEAVE;4;45;2
3.7404;ARRIVAL;;47;3
3.7404;SERVICE;3;47;3
3.7643;LEAVE;2;44;2
3.7861;LEAVE;3;47;1
3.8042;ARRIVAL;;48;2
3.8042;SERVICE;3;48;2
3.8345;ARRIVAL;;49;3
3.8345;SERVICE;0;49;3
3.8441;LEAVE;1;46;2
3.9244;ARRIVAL;;50;3
3.9244;SERVICE;2;50;3
3.9797;ARRIVAL;;51;4
3.9797;SERVICE;4;51;4
3.9991;LEAVE;4;51;3
4.0527;LEAVE;0;49;2
4.0572;LEAVE;3;48;1
4.0747;ARRIVAL;;52;2
4.0747;SERVICE;0;52;2
4.1217;ARRIVAL;;53;3
4.1217;SERVICE;4;53;3
4.1946;LEAVE;2;50;2
4.2093;LEAVE;4;53;1
4.4043;LEAVE;0;52;0
4.5121;ARRIVAL;;54;1
4.5121;SERVICE;4;54;1
4.7757;LEAVE;4;54;0
4.8512;ARRIVAL;;55;1
4.8512;SERVICE;4;55;1
4.8827;LEAVE;4;55;0
5.181;ARRIVAL;;56;1
5.181;SERVICE;4;56;1
5.3115;LEAVE;4;56;0
5.3185;ARRIVAL;;57;1
5.3185;SERVICE;2;57;1
5.4724;ARRIVAL;;58;2
5.4724;SERVICE;4;58;2
5.4902;LEAVE;2;57;1
5.5478;ARRIVAL;;59;2
5.5478;SERVICE;1;59;2
5.5671;ARRIVAL;;60;3
5.5671;SERVICE;3;60;3
5.5792;LEAVE;1;59;2
5.6865;ARRIVAL;;61;3
5.6865;SERVICE;2;61;3
5.7028;LEAVE;2;61;2
5.816;LEAVE;3;60;1
5.9098;ARRIVAL;;62;2
5.9098;SERVICE;0;62;2
5.9155;ARRIVAL;;63;3
5.9155;SERVICE;3;63;3
5.9499;LEAVE;0;62;2
5.963;ARRIVAL;;64;3
5.963;SERVICE;0;64;3
6.0975;ARRIVAL;;65;4
6.0975;SERVICE;2;65;4
6.13;ARRIVAL;;66;5
6.13;SERVICE;1;66;5
6.1365;LEAVE;0;64;4
6.1627;LEAVE;3;63;3
6.1794;ARRIVAL;;67;4
6.1794;SERVICE;3;67;4
6.2643;LEAVE;1;66;3
6.2883;LEAVE;4;58;2
6.3194;LEAVE;2;65;1
6.4182;ARRIVAL;;68;2
6.4182;SERVICE;0;68;2
6.4967;ARRIVAL;;69;3
6.4967;SERVICE;4;69;3
6.5042;LEAVE;4;69;2
6.542;LEAVE;0;68;1
6.6153;LEAVE;3;67;0
6.6352;ARRIVAL;;70;1
6.6352;SERVICE;1;70;1
6.8304;ARRIVAL;;71;2
6.8304;SERVICE;0;71;2
6.834;ARRIVAL;;72;3
6.834;SERVICE;2;72;3
6.8436;LEAVE;2;72;2
6.8815;LEAVE;1;70;1
6.9413;ARRIVAL;;73;2
6.9413;SERVICE;1;73;2
6.991;LEAVE;0;71;1
7.0485;ARRIVAL;;74;2
7.0485;SERVICE;2;74;2
7.0703;LEAVE;1;73;1
7.1564;ARRIVAL;;75;2
7.1564;SERVICE;3;75;2
7.2068;LEAVE;2;74;1
7.216;LEAVE;3;75;0
7.4325;ARRIVAL;;76;1
7.4325;SERVICE;1;76;1
7.5298;ARRIVAL;;77;2
7.5298;SERVICE;2;77;2
7.5739;LEAVE;1;76;1
7.5801;LEAVE;2;77;0
7.6343;ARRIVAL;;78;1
7.6343;SERVICE;0;78;1
7.7172;ARRIVAL;;79;2
7.7172;SERVICE;1;79;2
7.7698;ARRIVAL;;80;3
7.7698;SERVICE;4;80;3
7.8057;LEAVE;1;79;2
7.8288;LEAVE;4;80;1
7.8322;LEAVE;0;78;0
7.8761;ARRIVAL;;81;1
7.8761;SERVICE;4;81;1
8.0474;LEAVE;4;81;0
8.2204;ARRIVAL;;82;1
8.2204;SERVICE;2;82;1
8.2456;ARRIVAL;;83;2
8.2456;SERVICE;3;83;2
8.5256;ARRIVAL;;84;3
8.5256;SERVICE;1;84;3
8.6168;ARRIVAL;;85;4
8.6168;SERVICE;0;85;4
8.6274;LEAVE;0;85;3
8.7186;LEAVE;2;82;2
8.7441;ARRIVAL;;86;3
8.7441;SERVICE;2;86;3
8.7682;ARRIVAL;;87;4
8.7682;SERVICE;4;87;4
8.8756;ARRIVAL;;88;5
8.8756;SERVICE;0;88;5
8.9246;LEAVE;1;84;4
8.9649;ARRIVAL;;89;5
8.9649;SERVICE;1;89;5
8.9693;LEAVE;3;83;4
8.9733;LEAVE;0;88;3
