Total Customers;Serviced Customers;Not Serviced Customers;Service Mean Time;Service Rate;Arrival Rate;Servers Number;Time Limit;Delay probability;System load;Average Customers;Mean Service Time;Average Time In System
97;96;1;0.1683;5.823168452745631;9.316616392221361;3;10;0.1769053626268819;0.5333073948672831;0.20215648811012296;0.17172781589866232;0.021698487905856857
93;93;0;0.1151;7.741474239074679;5.665553367759463;2;20;0.16391914119003456;0.3659221223757927;0.09459664523704357;0.1291743625461612;0.016696805959918685
149;148;1;0.2645;3.5975547339398077;5.1784367661606945;5;30;0.016023827066284437;0.28788647562782776;0.006477960244119032;0.2779665839593398;0.0012509489903304945
160;159;1;0.4566;2.1322590221629834;3.8742828767883237;3;40;0.2099878462890091;0.605661700653081;0.32251900540857953;0.4689861736336286;0.08324611693711408
514;508;6;0.1697;5.614529793875043;9.853444543510776;2;50;0.4506216817217496;0.877495080198881;3.227774928416952;0.17810930509103573;0.3275783320405128
228;227;1;0.2347;4.120940854684791;3.665171101175118;4;60;0.013218985931075275;0.2223503824987234;0.003779654116546911;0.24266303139565187;0.001031235380889882
692;691;1;0.1201;7.934882305717299;9.826038880962642;3;70;0.11660946925716105;0.41277818214067746;0.08196876082674999;0.12602581380185976;0.008341994349885947
234;233;1;0.1664;5.971570356264476;2.860733963108835;2;80;0.08473053783637167;0.23952945309501225;0.026688028183329552;0.167460138680431;0.009329084258616963
713;713;0;0.1005;9.248240561415074;7.608873818454253;5;90;0.001640621599674922;0.16454748917755269;0.0003231304729112737;0.10812867521765566;4.246758201293419e-05
972;968;4;0.1832;5.421340604669591;9.68413180280668;3;100;0.20550509199173553;0.5954327849256448;0.30245769968916186;0.18445622087250246;0.031232298965768183
79;74;5;0.2151;4.297398353511589;8.198539273327153;2;10;0.4822374920667553;0.953895659524765;9.97746081607387;0.23269893031509564;1.2169803038614695
35;35;0;0.1695;5.6710507984729315;2.0964150409129765;3;20;0.006546786986137379;0.12322319768777758;0.0009200928045599708;0.17633416372663677;0.00043888866784664725
199;199;0;0.1702;5.987189242033563;5.9531561059190405;4;30;0.018889832987080354;0.2485789184733134;0.006248978594704478;0.16702328247442327;0.0010496917069739379
73;73;0;0.0951;8.19762579054445;2.0890980836583304;5;40;7.314802903909352e-06;0.050968369062857205;3.9284630972769403e-07;0.12198653921888578;1.8804589061694988e-07
367;362;5;0.4468;2.36679926745606;7.434963888453888;5;50;0.13040450926273298;0.628271606357671;0.22040137883470964;0.42251153857878454;0.02964390710450948
300;296;4;0.1437;6.429851317572935;5.330038196559789;2;60;0.19543210129639635;0.4144760067773783;0.13834090127651652;0.15552459156667844;0.025954954950568092
428;412;16;0.457;2.1629486208055453;6.459438854529898;3;70;0.3323780415084383;0.9954680680493487;73.00897949160134;0.46233183274948564;11.302681414872646
217;217;0;0.2391;4.059240903101325;2.556702685519629;4;80;0.004094151320975469;0.15746187197009343;0.0007651555575734669;0.2463514789762746;0.00029927435908252867
186;185;1;0.1712;5.980120802933552;1.6284478436194583;2;90;0.03160196414803596;0.136155095965672;0.004980950215929705;0.1672207022154886;0.0030587103145157113
382;382;0;0.1294;7.514555114151904;3.9872623209187807;4;100;0.002224860828007984;0.13265131003596295;0.0003402676534799325;0.13307507694191162;8.533866750997335e-05
89;37;52;0.6982;1.2484650307540015;8.86445866402564;3;10;;2.366761969208438;;0.8009835881394749;
139;132;7;0.3884;2.4372871557965836;6.377199143206752;4;20;0.17314510743797165;0.6541288259817788;0.32746066848266064;0.4102922372612955;0.051348665947100754
168;166;2;0.6042;1.6506848273363688;5.707189648915895;4;30;0.22755153161602218;0.8643669515829551;1.4501482198217395;0.6058091668617638;0.2540914721656746
389;388;1;0.2084;4.872934776874188;8.874138306369517;5;40;0.03617766491843008;0.36422150973512335;0.0207252745052642;0.20521514154996837;0.002335468953688539
356;356;0;0.2246;3.987835746040563;6.829488795231157;4;50;0.08331061814371524;0.42814506603061636;0.062374263099568006;0.2507625849416889;0.009133079351872167
142;139;3;0.2699;3.8563422826188094;2.3579594254179845;2;60;0.12523639140914058;0.30572486213758937;0.055147990198889225;0.25931308133802594;0.023388014910016273
128;128;0;0.3248;2.8893765588873466;1.6494122464038536;4;70;0.002890796678557949;0.1427135069441257;0.0004812343775402825;0.3460954221851527;0.00029176112799544093
720;720;0;0.1364;7.235758162957789;9.609580622946757;5;80;0.011825550831448354;0.2656136483980722;0.004277077990088301;0.1382025183095984;0.0004450847709082173
597;597;0;0.1058;8.892042373649723;6.703148898106502;3;90;0.04103133108451631;0.2512789381949832;0.01377056133934308;0.11246010286268483;0.002054342153019005
749;442;307;0.658;1.5604451147961351;7.914206798032119;3;100;;1.6905874533254726;;0.6408427893541423;
35;34;1;0.1302;8.574453107457748;3.4347910187292054;3;10;0.008145719499276486;0.13352808922362444;0.0012553001967662443;0.11662551389198646;0.0003654662510532233
46;45;1;0.1361;9.58938546854568;1.6373115692246776;2;20;0.013251931098604681;0.08537103730970318;0.001236929017551434;0.10428196919188601;0.0007554634321292688
286;207;79;0.5528;1.659138015874269;9.856995137727791;4;30;;1.4852584660555996;;0.6027226128460798;
385;161;224;0.9584;1.008474878065504;9.537132368878643;4;40;;2.3642463923278743;;0.9915963419120952;
315;313;2;0.2233;5.015618296870442;5.694021606377569;4;50;0.028338641798248923;0.2838145403693511;0.011230217660115012;0.1993772134980771;0.0019722822350264086
566;456;110;0.3748;2.572725513630159;9.193214087971567;3;60;;1.1911121803532767;;0.3886928452732539;
586;584;2;0.1163;9.155457332357566;7.891640338497393;2;70;0.20609950794664975;0.4309801275904841;0.1561013886124123;0.10922447275962523;0.019780600979863554
293;292;1;0.3063;3.546085676835033;3.697312270795772;3;80;0.08380791797791051;0.34754868774027226;0.04464292027337078;0.2820010826395272;0.01207442515093871
128;128;0;0.5062;1.8066985510697793;1.0934899157120643;5;90;0.0004196738303398446;0.12104840788902929;5.7797095370543456e-05;0.5534957668548977;5.285562723539782e-05
441;441;0;0.1134;8.594018125208098;4.222539933004913;3;100;0.014047063916398915;0.16377825721278144;0.0027511885059532163;0.11636000592863373;0.0006515482504851933
64;63;1;0.0978;9.90885582083455;7.229507081536985;3;10;0.03797405909079412;0.24320019762308934;0.01220309340254363;0.10091982546535604;0.0016879564906587333
195;138;57;0.399;2.454579726781195;8.420336296228713;3;20;;1.1434864937511038;;0.4074017189538784;
60;59;1;0.5773;1.5850155763799394;2.359285843662222;4;30;0.05978400645550913;0.3721234476841325;0.03543217295906063;0.6309086263265169;0.015018177239626347
265;265;0;0.1155;8.511182095079263;6.624081632099474;2;40;0.17899516865376983;0.38913993133393215;0.11402638871310913;0.11749249267950096;0.017213916591932
446;430;16;0.3924;2.3840933948690255;8.93665176022948;4;50;0.24055125423224819;0.9371121722268384;3.584533229523881;0.419446655131955;0.40110472307716233
446;379;67;0.7447;1.321889948722753;7.472685141117047;5;60;;1.1306062427265395;;0.7564926270649293;
497;271;226;0.4952;2.0841739080103987;7.090113834506045;2;70;;1.7009410316614209;;0.47980640970341265;
594;593;1;0.1619;6.459452890037207;7.8649421361071745;4;80;0.03477052355180538;0.30439660564123533;0.015215609111992576;0.15481187292848883;0.0019346117045336182
252;252;0;0.172;6.62845752161558;2.9638607832515835;4;90;0.0011947799354215271;0.11178546341989644;0.00015036798348305838;0.15086466145992078;5.073382134976432e-05
696;695;1;0.1004;9.747305132582559;7.276122850253355;2;100;0.1686670387486901;0.3732376667850111;0.10044140923909725;0.10259245877686492;0.013804248678346584
54;54;0;0.1067;8.680145027130475;5.1973992885167295;3;10;0.023377352956567725;0.19958957184362894;0.005829354170442171;0.11520544839682073;0.0011215905969205982
167;160;7;0.314;3.0954091030842767;8.296393750033111;4;20;0.17830708678489013;0.6700563216156593;0.3621096523932007;0.3230590744866636;0.043646632898993676
70;69;1;0.8687;1.2687821443328287;2.3732222778190177;5;30;0.03936059113039623;0.37409452653779957;0.02352524834416987;0.7881573715918236;0.009912787590123873
39;39;0;0.1225;9.569587486476557;1.1459927816163644;4;40;7.836561348844611e-06;0.02993840599806015;2.418549056483383e-07;0.10449771230088746;2.1104400440220426e-07
338;338;0;0.0945;9.970112515975508;6.96347145921629;4;50;0.005867824008633839;0.17460864779756605;0.0012413176039798915;0.1002997707796838;0.0001782613185463672
130;130;0;0.1652;6.088873516919973;2.460891090284402;5;60;6.524724035043521e-05;0.08083239316586203;5.737898665901937e-06;0.16423399126639193;2.331634540250546e-06
106;106;0;0.1511;7.790907075380027;1.3677149194371934;5;70;1.2081902142406075e-06;0.03511054377119441;4.396380862821288e-08;0.12835475899335144;3.214398556557658e-08
721;545;176;0.2762;3.6595861099134908;8.77154050827537;2;80;;1.1984334081542791;;0.2732549446755986;
754;754;0;0.4189;2.4072016257043094;8.5386005302677;5;90;0.1527997186287962;0.7094212997442156;0.37304652713626835;0.4154201248960256;0.04368942261836585
112;112;0;0.2061;4.749061737673543;1.3741304735383595;2;100;0.0352800975041458;0.14467389028001085;0.005967442005311662;0.21056790903920258;0.004342704073759178
31;31;0;0.2122;4.960064167593587;3.913816906748849;2;10;0.1824974425000398;0.394532890554082;0.11891850504341793;0.20161029499042904;0.0303842790495281
48;48;0;0.1445;6.472154078796541;2.157984390753379;2;20;0.045476946159475604;0.16671299574149226;0.00909842334354793;0.15450806452153318;0.004216167356229837
317;167;150;0.6651;1.5371776548638438;9.991057013891641;4;30;;1.6249027856797404;;0.6505428938781805;
283;283;0;0.138;7.060001181574074;6.943013398204366;4;40;0.01824652076391607;0.24585737380345507;0.005948532174466246;0.14164303578445625;0.000856765187289525
389;387;2;0.173;5.903080320972481;7.80694145424422;3;50;0.1309427637485964;0.4408399812612915;0.10323485868578768;0.16940308205653193;0.013223470329685174
611;592;19;0.1766;6.162208235954846;9.233542057479633;2;60;0.39090854718406987;0.7492072406450314;1.1677829724175122;0.1622794884089223;0.12647183119413521
547;545;2;0.1359;7.252388099436618;8.131446874656888;4;70;0.027305923893684674;0.2803023901633366;0.010634905032899922;0.13788561592252382;0.0013078736412883063
149;147;2;0.144;7.766824536846332;1.593731874577617;4;80;6.340851890600206e-05;0.051299339486068185;3.428705463223406e-06;0.1287527476970715;2.151369071495861e-06
149;148;1;0.6508;1.5702770112038693;1.5840231445966102;2;90;0.25273199007860686;0.5043769772131486;0.2571958753734733;0.6368303126550515;0.16236876099368563
324;323;1;0.104;9.081977220479661;3.3163819633417173;3;100;0.006330657174794118;0.1217202628469987;0.0008773619869769815;0.11010818192155578;0.0002645539617194507
83;15;68;1.0575;1.175887387423617;8.934945705748977;2;10;;3.7992352844797264;;0.8504215715681853;
45;44;1;0.1223;8.563453113313457;2.3728094489506817;5;20;1.0921759632564434e-05;0.055417117780716625;6.407616010449692e-07;0.11677532261434546;2.7004342945799156e-07
167;123;44;0.685;1.4275483453991877;5.5003386250674335;3;30;;1.2843321308625255;;0.7005016700295137;
395;394;1;0.0998;9.696617425800385;9.482641226720647;4;40;0.017926514990567768;0.24448322570429565;0.00580097273765499;0.10312874645742325;0.0006117465164988766
371;371;0;0.0992;9.293937287763892;7.104038651371023;5;50;0.0011894550072721222;0.15287468446175073;0.0002146524907033838;0.10759702470949194;3.0215557830890683e-05
122;122;0;0.2097;5.699987802311187;2.1730798408611713;3;60;0.007121343331762143;0.12708096439434763;0.00103673667484601;0.17543897192105;0.0004770817230696691
468;467;1;0.1324;7.764963203939652;6.617039392437534;3;70;0.05441471636351903;0.28405540883440356;0.021589372549184305;0.1287836109117217;0.0032626936714111624
228;227;1;0.3781;2.5995307027685945;3.0463196362610567;5;80;0.007233296710215104;0.23437458407524217;0.0022142693707494277;0.384684819815732;0.0007268670511106125
155;155;0;0.1214;7.846024108725553;1.6777075679159992;5;90;3.1424143281776335e-06;0.04276580200792967;1.403918385569832e-07;0.1274530878496666;8.368075655245088e-08
318;317;1;0.1197;7.699472411945739;2.910223166384523;3;100;0.006956310874958109;0.12599231958929674;0.0010027849440732322;0.1298790289122277;0.0003445732119983873
53;51;2;0.2311;3.754487136349263;5.663372562112365;2;10;0.3934024930713322;0.7542138721534198;1.2071861834258795;0.26634796276659145;0.21315676660615357
110;102;8;0.6677;1.4455700390376074;5.851325162271816;5;20;0.17402844041402624;0.8095526338062946;0.7397591529361525;0.6917686262131948;0.12642591762050293
129;129;0;0.1105;9.889122135584735;4.8347269488815785;5;30;0.00015811641089943045;0.09777868819082404;1.7135945512288643e-05;0.10112121038546268;3.5443460806515072e-06
131;131;0;0.3754;2.337684157130284;3.038769328157097;3;40;0.12709575429847472;0.43330195240282265;0.09717845105191578;0.4277737849870999;0.03197954189923688
334;333;1;0.1111;9.182487082565506;7.211163373434548;4;50;0.008751374129013154;0.19632925449811284;0.002137878936367467;0.10890295744588281;0.00029646796579914863
530;528;2;0.1349;7.080922886803488;8.686719542567271;2;60;0.31805995542278354;0.6133889382382952;0.504627201984073;0.14122452906014146;0.058091803184304895
521;519;2;0.1731;5.660877660367279;6.707425034080609;3;70;0.1075264934744274;0.39495789855110147;0.07019088060075342;0.17665105306923728;0.01046465375969342
380;378;2;0.2074;4.909180474582683;4.838774047128283;3;80;0.07464057459953576;0.3285527372087915;0.03652314403601969;0.2036999872336141;0.0075480160223012375
590;588;2;0.2324;4.290293928515473;7.133655438961765;5;90;0.026789909941878496;0.3325485646355308;0.013347706853041678;0.23308426337726934;0.0018710893688726167
350;349;1;0.2635;3.7245955192516904;3.5564692793901505;4;100;0.016618579802025975;0.23871513436878386;0.005211067091383301;0.268485529457145;0.0014652360760098776
62;62;0;0.1656;7.147936545243132;7.786545147416492;4;10;0.025036283070284722;0.2723354179955034;0.009370068000585471;0.1399005144590278;0.0012033665538681657
127;126;1;0.1256;7.088100582257889;6.833399053655402;3;20;0.07123904093089659;0.3213554404480834;0.033733495764797304;0.14108151942751546;0.004936561658396371
94;93;1;0.3791;2.3455291223786006;3.287388390066832;2;30;0.3660807005651838;0.7007775684177164;0.857359329078833;0.42634303298946047;0.26080256645957284
203;201;2;0.1113;7.5435749390777405;4.890767083833552;5;40;0.0005722186353595349;0.12966709082448608;8.525234996906836e-05;0.13256314255191287;1.7431283990372454e-05
107;106;1;0.1469;6.6060846005101075;2.4778056383603597;4;50;0.0006242060510625202;0.09376982691718136;6.45881091882831e-05;0.1513755969644685;2.6066656798401284e-05
517;514;3;0.4346;2.3168284271123896;8.866305041807346;5;60;0.16546244937141844;0.7653829638872297;0.5397823704970236;0.43162453822545827;0.060880193942322566
